iter	Passed	Remaining
920	13287	1139
921	13300	1125
922	13312	1110
923	13324	1095
924	13340	1081
925	13354	1067
926	13366	1052
927	13380	1038
928	13394	1023
929	13407	1009
930	13420	994
931	13432	980
932	13445	965
933	13457	950
934	13470	936
935	13482	921
936	13496	907
937	13507	892
938	13520	878
939	13532	863
940	13546	849
941	13559	834
942	13571	820
943	13583	805
944	13594	791
945	13606	776
946	13618	762
947	13630	747
948	13642	733
949	13654	718
950	13666	704
951	13677	689
952	13689	675
953	13701	660
954	13713	646
955	13725	631
956	13736	617
957	13747	602
958	13759	588
959	13771	573
960	13782	559
961	13793	544
962	13805	530
963	13816	515
964	13829	501
965	13840	487
966	13851	472
967	13863	458
968	13875	443
969	13887	429
970	13899	415
971	13911	400
972	13928	386
973	13941	372
974	13952	357
975	13965	343
976	13976	329
977	13988	314
978	13999	300
979	14011	285
980	14023	271
981	14035	257
982	14047	242
983	14059	228
984	14072	214
985	14085	199
986	14096	185
987	14109	171
988	14121	157
989	14133	142
990	14145	128
991	14158	114
992	14169	99
993	14181	85
994	14194	71
995	14206	57
996	14218	42
997	14229	28
998	14241	14
999	14252	0
